((1.0, 0.3611111111111111), 0.006857142857142858)
((1.0, 0.4027777777777778), 0.008)
((0.6666666666666666, 0.5), 0.014857142857142857)
((1.0, 0.44642857142857145), 0.001142857142857143)
((1.0, 0.2222222222222222), 0.001142857142857143)
((1.0, 0.3194444444444444), 0.002285714285714286)
((1.0, 0.30952380952380953), 0.002285714285714286)
((1.0, 0.21428571428571427), 0.001142857142857143)
((1.0, 0.39285714285714285), 0.001142857142857143)
((0.8571428571428572, 0.2857142857142857), 0.001142857142857143)
((1.0, 0.5), 0.09028571428571429)
((1.0, 0.2361111111111111), 0.001142857142857143)
((1.0, 0.16666666666666666), 0.002285714285714286)
((1.0, 0.3392857142857143), 0.001142857142857143)
((1.0, 0.35), 0.001142857142857143)
((1.0, 0.35714285714285715), 0.004571428571428572)
((1.0, 0.25), 0.001142857142857143)
((0.7142857142857143, 0.42857142857142855), 0.001142857142857143)
((1.0, 0.26785714285714285), 0.002285714285714286)
((1.0, 0), 0.006857142857142858)
((0.8888888888888888, 0.1388888888888889), 0.001142857142857143)
((0.5, 0.2857142857142857), 0.002285714285714286)
((0.7777777777777778, 0.20833333333333334), 0.001142857142857143)
((0.8333333333333333, 0.4), 0.001142857142857143)
((0.4, 0.35), 0.013714285714285715)
((0.33333333333333337, 0.16666666666666666), 0.009142857142857144)
((0.5555555555555556, 0.3888888888888889), 0.005714285714285715)
((0.33333333333333337, 0.3333333333333333), 0.013714285714285715)
((0.375, 0.19642857142857142), 0.002285714285714286)
((0.4444444444444444, 0.2222222222222222), 0.002285714285714286)
((0.5555555555555556, 0.2361111111111111), 0.001142857142857143)
((0.5, 0.5), 0.029714285714285714)
((0.5, 0), 0.11085714285714285)
((0.6666666666666666, 0.16666666666666666), 0.002285714285714286)
((0.0, 0), 0.07314285714285715)
((0.4285714285714286, 0.2619047619047619), 0.001142857142857143)
((0.6666666666666666, 0.20833333333333334), 0.001142857142857143)
((0.6, 0.45), 0.003428571428571429)
((0.8, 0.3), 0.001142857142857143)
((0.7142857142857143, 0.30952380952380953), 0.002285714285714286)
((0.6, 0.2), 0.001142857142857143)
((0.8, 0.5), 0.005714285714285715)
((0.33333333333333337, 0.23333333333333334), 0.001142857142857143)
((0.5, 0.3), 0.001142857142857143)
((0.5555555555555556, 0.25), 0.001142857142857143)
((0.5714285714285714, 0.30952380952380953), 0.001142857142857143)
((0.25, 0.16666666666666666), 0.002285714285714286)
((0.33333333333333337, 0.18055555555555555), 0.001142857142857143)
((0.5555555555555556, 0.2222222222222222), 0.002285714285714286)
((0.5, 0.39285714285714285), 0.008)
((0.5555555555555556, 0.16666666666666666), 0.001142857142857143)
((0.375, 0.26785714285714285), 0.001142857142857143)
((0.5, 0.25), 0.005714285714285715)
((0.6666666666666666, 0.43333333333333335), 0.002285714285714286)
((0.5555555555555556, 0.3333333333333333), 0.004571428571428572)
((0.625, 0.23214285714285715), 0.003428571428571429)
((0.6666666666666666, 0.3333333333333333), 0.001142857142857143)
((0.6666666666666666, 0.2), 0.002285714285714286)
((0.5555555555555556, 0.2638888888888889), 0.001142857142857143)
((0.5, 0.4166666666666667), 0.013714285714285715)
((0.5, 0.16666666666666666), 0.002285714285714286)
((0.5555555555555556, 0.1527777777777778), 0.001142857142857143)
((0.75, 0.3333333333333333), 0.001142857142857143)
((0.5714285714285714, 0.14285714285714285), 0.001142857142857143)
((0.2, 0.2), 0.002285714285714286)
((0.33333333333333337, 0.0), 0.001142857142857143)
((0.8333333333333333, 0.36666666666666664), 0.002285714285714286)
((0.5714285714285714, 0.35714285714285715), 0.002285714285714286)
((0.2857142857142857, 0.23809523809523808), 0.003428571428571429)
((0.4, 0.15), 0.001142857142857143)
((0.5, 0.19642857142857142), 0.002285714285714286)
((1.0, 0.4861111111111111), 0.018285714285714287)
((0.0, 0.21428571428571427), 0.011428571428571429)
((0.0, 0.20833333333333334), 0.003428571428571429)
((0.0, 0.17857142857142858), 0.008)
((0.0, 0.023809523809523808), 0.002285714285714286)
((0.0, 0.125), 0.009142857142857144)
((0.0, 0.11904761904761904), 0.005714285714285715)
((0.0, 0.14285714285714285), 0.025142857142857144)
((0.0, 0.19047619047619047), 0.010285714285714287)
((0.0, 0.19444444444444445), 0.001142857142857143)
((0.0, 0.23214285714285715), 0.003428571428571429)
((0.0, 0.2619047619047619), 0.002285714285714286)
((0.0, 0.07142857142857142), 0.004571428571428572)
((0.0, 0.09523809523809523), 0.011428571428571429)
((0.0, 0.18055555555555555), 0.004571428571428572)
((0.0, 0.2222222222222222), 0.001142857142857143)
((0.0, 0.2857142857142857), 0.001142857142857143)
((1.0, 0.3333333333333333), 0.002285714285714286)
((1.0, 0.42857142857142855), 0.006857142857142858)
((1.0, 0.2857142857142857), 0.001142857142857143)
((1.0, 0.3055555555555556), 0.003428571428571429)
((1.0, 0.32142857142857145), 0.002285714285714286)
((0.7777777777777778, 0.2361111111111111), 0.001142857142857143)
((1.0, 0.30357142857142855), 0.001142857142857143)
((1.0, 0.4666666666666667), 0.008)
((0.8888888888888888, 0.2916666666666667), 0.001142857142857143)
((1.0, 0.2638888888888889), 0.001142857142857143)
((1.0, 0.40476190476190477), 0.001142857142857143)
((1.0, 0.2916666666666667), 0.003428571428571429)
((1.0, 0.2619047619047619), 0.002285714285714286)
((0.6666666666666666, 0.06944444444444445), 0.001142857142857143)
((0.4444444444444444, 0.3055555555555556), 0.008)
((0.4444444444444444, 0.3472222222222222), 0.003428571428571429)
((0.5, 0.2), 0.003428571428571429)
((0.5, 0.26785714285714285), 0.002285714285714286)
